epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0065,1.39552,4.35863,1.40794,0.01389,0.6116,0.07788,0.04131,1.10466,3.40171,1.2255,0.00019994,0.00019994,0.00019994
2,19.2367,1.37186,3.34911,1.41982,0.87789,0.05637,0.08683,0.0462,1.30691,2.68648,1.35976,0.0003995,0.0003995,0.0003995
3,27.055,1.32266,3.01189,1.43572,0.61982,0.1409,0.14845,0.08318,1.31371,2.44951,1.43608,0.000590838,0.000590838,0.000590838
4,34.7312,1.35526,2.94463,1.45493,0.66795,0.10392,0.13944,0.08678,1.27193,2.73136,1.40487,0.000723321,0.000723321,0.000723321
5,42.3964,1.34659,2.76917,1.42845,0.70946,0.14545,0.11898,0.06965,1.41235,3.08014,1.55594,0.000708095,0.000708095,0.000708095
6,50.7287,1.36819,2.71086,1.46041,0.47055,0.27101,0.12729,0.07118,1.53249,3.52117,1.71794,0.000692869,0.000692869,0.000692869
7,59.1383,1.31581,2.54672,1.42645,0.51585,0.21986,0.18146,0.09724,1.38865,2.46556,1.58217,0.000677643,0.000677643,0.000677643
8,67.3219,1.30073,2.54203,1.4097,0.52826,0.16268,0.14556,0.08017,1.45016,2.36478,1.59636,0.000662417,0.000662417,0.000662417
9,76.1263,1.30868,2.5318,1.42194,0.73091,0.14244,0.17601,0.09701,1.4889,2.35635,1.63192,0.00064719,0.00064719,0.00064719
10,84.6207,1.30999,2.36451,1.39877,0.70745,0.09531,0.15371,0.08251,1.33626,2.6123,1.46659,0.000631964,0.000631964,0.000631964
11,93.4498,1.26669,2.29344,1.37514,0.57599,0.22211,0.2383,0.11612,1.46166,2.32937,1.61427,0.000616738,0.000616738,0.000616738
12,102.147,1.24033,2.1987,1.38159,0.498,0.18832,0.15164,0.08776,1.299,2.11216,1.47438,0.000601512,0.000601512,0.000601512
13,110.075,1.19928,2.09268,1.32187,0.32791,0.24626,0.1861,0.10732,1.36319,2.54548,1.53458,0.000586286,0.000586286,0.000586286
14,118.994,1.17504,2.14362,1.32984,0.48845,0.24027,0.20847,0.1299,1.34975,2.42716,1.49361,0.000571059,0.000571059,0.000571059
