epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3553,3.48055,5.06991,4.26445,0,0,0,0,3.73455,4.67387,4.16865,0.000252061,0.000252061,0.000252061
2,27.855,3.32298,4.67995,4.0155,0,0,0,0,3.86769,5.04221,4.265,0.000503361,0.000503361,0.000503361
3,40.0433,3.23483,4.43786,3.68407,0.00102,0.125,0.00237,0.00064,3.21939,3.89198,3.69739,0.000749586,0.000749586,0.000749586
4,52.2055,3.05507,4.25837,3.42387,0.50453,0.08333,0.01122,0.00232,3.03485,3.5663,3.29825,0.000746161,0.000746161,0.000746161
5,64.8639,2.90472,4.05214,3.24917,0.00663,0.5875,0.056,0.01625,2.65836,3.79555,3.06557,0.000738548,0.000738548,0.000738548
6,77.3282,2.76792,3.9498,3.11556,0.57282,0.14583,0.04983,0.01849,2.57196,3.87025,3.2788,0.000730935,0.000730935,0.000730935
7,90.2494,2.6194,3.77587,3.0275,0.02471,0.72917,0.15925,0.09278,2.20986,4.68034,2.77992,0.000723321,0.000723321,0.000723321
8,103.226,2.55084,3.66622,2.94554,0.8657,0.02083,0.04605,0.01941,2.31113,3.67096,2.86488,0.000715708,0.000715708,0.000715708
9,116.097,2.4564,3.64367,2.84625,0.59589,0.15417,0.16929,0.06147,2.29042,2.91197,2.78444,0.000708095,0.000708095,0.000708095
10,129.311,2.38108,3.51874,2.76661,0.31373,0.09997,0.16742,0.04206,2.15755,2.95239,2.6243,0.000700482,0.000700482,0.000700482
11,142.373,2.31708,3.3629,2.71558,0.33318,0.20417,0.29082,0.11265,2.20833,2.68774,2.63229,0.000692869,0.000692869,0.000692869
12,155.998,2.28534,3.366,2.67481,0.51177,0.13333,0.27928,0.08354,2.21866,2.75725,2.5666,0.000685256,0.000685256,0.000685256
13,169.613,2.23254,3.32038,2.59771,0.59508,0.125,0.32662,0.15252,2.05619,2.68842,2.44348,0.000677643,0.000677643,0.000677643
14,183.263,2.17208,3.21329,2.5658,0.75514,0.27083,0.28143,0.10036,2.16316,2.64277,2.53698,0.00067003,0.00067003,0.00067003
15,197.682,2.1547,3.18979,2.51908,0.66656,0.13436,0.34668,0.12342,2.03345,2.85551,2.48199,0.000662417,0.000662417,0.000662417
16,211.925,2.11933,3.12862,2.48519,0.67605,0.175,0.2935,0.11523,1.99698,2.43532,2.38015,0.000654804,0.000654804,0.000654804
17,225.733,2.06999,3.05922,2.429,0.73397,0.19583,0.39995,0.20373,1.85414,2.38727,2.30628,0.00064719,0.00064719,0.00064719
18,239.917,2.05202,3.05205,2.42457,0.56884,0.2375,0.25735,0.12025,1.9334,2.54782,2.30797,0.000639577,0.000639577,0.000639577
19,254.023,2.03304,3.03326,2.396,0.40407,0.30901,0.31148,0.15988,1.92757,2.31013,2.27467,0.000631964,0.000631964,0.000631964
20,268.253,2.00231,2.95348,2.35682,0.67857,0.175,0.29977,0.14973,1.75369,2.42366,2.17889,0.000624351,0.000624351,0.000624351
21,282.54,2.01469,2.95004,2.37903,0.62338,0.32083,0.307,0.16953,1.84145,2.47649,2.23932,0.000616738,0.000616738,0.000616738
22,296.812,2.00672,2.90604,2.31867,0.82974,0.37977,0.33981,0.2082,1.71362,2.35438,2.13515,0.000609125,0.000609125,0.000609125
23,311.986,1.98569,2.89844,2.35358,0.76679,0.15417,0.31957,0.18786,1.8038,2.39093,2.10763,0.000601512,0.000601512,0.000601512
24,327.162,1.97719,2.88121,2.31528,0.6155,0.3,0.32969,0.18269,1.64368,2.33228,2.03883,0.000593899,0.000593899,0.000593899
25,342.449,1.93961,2.85626,2.27283,0.73477,0.3,0.29599,0.14793,1.83709,2.18001,2.14592,0.000586286,0.000586286,0.000586286
26,359.092,1.90125,2.79341,2.27072,0.54781,0.55632,0.5009,0.25011,1.71023,2.23629,2.09274,0.000578672,0.000578672,0.000578672
27,373.974,1.88752,2.82303,2.24699,0.73757,0.34167,0.40805,0.23342,1.81047,2.10415,2.08871,0.000571059,0.000571059,0.000571059
28,388.703,1.91604,2.77058,2.24619,0.73174,0.3,0.42536,0.19276,1.76907,2.15073,2.11053,0.000563446,0.000563446,0.000563446
29,403.421,1.8917,2.79146,2.20546,0.60058,0.34167,0.37285,0.20885,1.74846,2.07899,2.08062,0.000555833,0.000555833,0.000555833
30,418.538,1.89608,2.76595,2.22736,0.50978,0.50378,0.44763,0.22589,1.64968,2.10254,2.01465,0.00054822,0.00054822,0.00054822
31,433.313,1.86614,2.70044,2.17833,0.4733,0.34167,0.32895,0.16174,1.64945,2.18385,2.00305,0.000540607,0.000540607,0.000540607
32,448.263,1.89374,2.67274,2.18593,0.67453,0.3,0.32418,0.16389,1.67069,2.07136,1.988,0.000532994,0.000532994,0.000532994
33,463.093,1.86513,2.67053,2.17106,0.51966,0.30631,0.38594,0.19593,1.6526,2.07098,1.9848,0.000525381,0.000525381,0.000525381
34,478.192,1.81244,2.65667,2.13392,0.75762,0.26884,0.40469,0.22745,1.65394,2.18043,1.9868,0.000517768,0.000517768,0.000517768
35,493.407,1.86475,2.69455,2.16457,0.90482,0.19583,0.34672,0.18329,1.65998,2.08975,1.98428,0.000510155,0.000510155,0.000510155
36,509.098,1.83795,2.65877,2.14576,0.74393,0.41785,0.40354,0.22618,1.76336,2.14498,2.09882,0.000502541,0.000502541,0.000502541
